Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),Description
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,,1.37kg,"1339,69","Experience superior performance and stunning visuals with the Apple MacBook Pro. This sleek Ultrabook features a brilliant 13.3"" IPS Panel Retina display with a high resolution of 2560x1600, providing crisp images and vibrant colors. Powered by an Intel Core i5 2.3GHz processor and 8GB of RAM, it ensures smooth multitasking and efficient computing. The MacBook Pro comes with a fast 128GB SSD for speedy data access and responsiveness. Equipped with Intel Iris Plus Graphics 640, it delivers impressive graphical performance for both work and entertainment. Weighing just 1.37kg, this lightweight laptop is perfect for on-the-go professionals and students. Running on macOS, this laptop offers a seamless and"
Apple,Macbook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,macOS,,1.34kg,"898,94","Experience ultimate portability and performance with the Apple Macbook Air. This ultrabook boasts a sleek design and lightweight construction, making it perfect for on-the-go use. The Intel Core i5 processor running at 1.8GHz ensures smooth operation, accompanied by 8GB of RAM for seamless multitasking. With 128GB of flash storage, you can store your files securely and access them quickly. The Macbook Air features a 13.3"" screen with a resolution of 1440x900, providing crisp and clear visuals. Equipped with Intel HD Graphics 6000, it delivers excellent graphics performance for both work and entertainment. Running on macOS, this laptop offers a user-friendly interface and seamless integration with other Apple devices."
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,,1.86kg,"575,00","Experience reliable performance with the HP 250 G6 notebook. Powered by an Intel Core i5 7200U processor running at 2.5GHz, this laptop delivers seamless multitasking capabilities. The 8GB of RAM and 256GB SSD provide ample memory and quick data access. Enjoy clear visuals on the 15.6"" Full HD screen with a resolution of 1920x1080. With Intel HD Graphics 620, you can handle everyday graphics tasks effortlessly. Weighing just 1.86kg, it is light and portable for on-the-go use. Please note that this model does not come with an operating system pre-installed. Priced at 575,00, the HP 250 G6"
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon Pro 455,macOS,,1.83kg,"2537,45","Experience top-tier performance with the Apple MacBook Pro. Powered by an Intel Core i7 processor clocked at 2.7GHz and 16GB of RAM, this ultrabook ensures seamless multitasking and efficiency. It boasts a stunning 15.4"" IPS panel Retina display with a resolution of 2880x1800, delivering crisp visuals and vibrant colors. With a spacious 512GB SSD, you get fast and ample storage for all your files and applications. The laptop is equipped with an AMD Radeon Pro 455 GPU for excellent graphical performance, perfect for creative work or entertainment. Weighing just 1.83kg, it's lightweight and portable, ideal for professionals on the go. Running on macOS, the MacBook"
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,,1.37kg,"1803,60","Experience unparalleled power and performance with the Apple MacBook Pro. This ultrabook boasts a stunning 13.3"" IPS Retina display, providing crisp visuals with a resolution of 2560x1600. Equipped with an Intel Core i5 processor clocked at 3.1GHz and 8GB of RAM, it ensures seamless multitasking and efficient computing. The 256GB SSD offers fast storage access, while the Intel Iris Plus Graphics 650 GPU delivers impressive graphical capabilities. Weighing just 1.37kg, this MacBook Pro is lightweight and portable. Running on macOS, it offers a user-friendly and intuitive operating system. Priced at 1803,60, this laptop is a premium choice for users who"
Acer,Aspire 3,Notebook,"15.6""",1366x768,AMD A9-Series 9420 3GHz,4GB,500GB HDD,AMD Radeon R5,Windows,10,2.1kg,"400,00","Experience reliable everyday computing with the Acer Aspire 3 notebook. Powered by an AMD A9-Series 9420 processor clocked at 3GHz and 4GB of RAM, this laptop offers smooth performance for your daily tasks. With a 500GB HDD, you have ample storage space for your files and documents. The 15.6"" screen with a resolution of 1366x768 ensures clear visuals for your entertainment and work needs. Equipped with an AMD Radeon R5 GPU, it provides decent graphics performance for casual gaming and multimedia. Weighing just 2.1kg, it's lightweight and portable for on-the-go use. Running on Windows 10, this Acer Aspire 3 comes at a budget-friendly"
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS,X,2.04kg,"2139,97","Experience unmatched performance and style with the Apple MacBook Pro. This ultrabook features a brilliant 15.4"" IPS Panel Retina Display with a resolution of 2880x1800, delivering stunning visuals for work or entertainment. Powered by an Intel Core i7 processor clocked at 2.2GHz and 16GB of RAM, it ensures seamless multitasking and speedy processing. With 256GB of Flash Storage, you get fast and ample storage for your files and applications. The laptop comes equipped with Intel Iris Pro Graphics for excellent graphical performance. Weighing just 2.04kg, it is highly portable and perfect for on-the-go use. Running on the Mac OS X, it offers a user-friendly interface and a"
Apple,Macbook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,,1.34kg,"1158,70","Experience premium performance in a sleek design with the Apple Macbook Air. This ultrabook boasts an Intel Core i5 processor clocked at 1.8GHz and 8GB of RAM, ensuring seamless multitasking and swift application launches. With a 13.3"" display featuring a resolution of 1440x900, you'll enjoy crisp visuals for work or entertainment. The 256GB Flash Storage provides ample space for your files while maintaining high-speed access. Equipped with Intel HD Graphics 6000, this Macbook Air delivers smooth graphics rendering for your content. Weighing just 1.34kg, it's lightweight and easily portable. Running on macOS, this laptop offers a user-friendly interface and seamless integration with other"
Asus,ZenBook UX430UN,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,Windows,10,1.3kg,"1495,00","The Asus ZenBook UX430UN is a sleek ultrabook designed for performance and portability. With an Intel Core i7 8550U processor clocked at 1.8GHz and 16GB of RAM, it offers powerful multitasking capabilities. The 14.0"" Full HD screen with a resolution of 1920x1080 delivers crisp visuals for an enhanced viewing experience. Featuring a 512GB SSD, it provides ample storage space and fast data access. The Nvidia GeForce MX150 GPU ensures smooth graphics performance for light gaming and multimedia tasks. Weighing only 1.3kg, this ultrabook is incredibly lightweight and easy to carry around. Running on Windows 10, it offers a familiar operating environment"
Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,"770,00","The Acer Swift 3 is a sleek and lightweight ultrabook designed for on-the-go productivity. Featuring a 14.0"" IPS Full HD display with a resolution of 1920x1080, it delivers sharp visuals and vibrant colors for an enhanced viewing experience. Powered by an Intel Core i5 8250U processor clocked at 1.6GHz and 8GB of RAM, this laptop offers smooth performance for everyday tasks and multitasking. With a fast 256GB SSD, it provides ample storage space and quick data access. The Intel UHD Graphics 620 ensures decent graphical performance for light gaming and multimedia tasks. Weighing just 1.6kg, the Acer Swift 3 is highly portable, making"
